document	C
read_basi_(1980)_2.txt	0.938145631111648
read_basi_(1980)_3.txt	0.948146496612492
read_basi_(1980).txt	0.955362162547005
read_basi_II(1980).txt	0.937559487936279
read_basi_III(1981)_2.txt	0.943930073518607
read_basi_III(1981)_3.txt	0.948611746657402
read_basi_III(1981)_4.txt	0.93374966106608
read_basi_III(1981)_5.txt	0.931710365919385
read_basi_III(1981)_6.txt	0.920900613406378
read_basi_III(1981)_7.txt	0.924751316087027
read_basi_III(1981)_8.txt	0.879939160334113
read_basi_III(1981).txt	0.956515345654514
read_basi_IV(1981)_2.txt	0.939162263371981
read_basi_IV(1981)_3.txt	0.911676107565947
read_basi_IV(1981)_4.txt	0.953898537453402
read_basi_IV(1981)_5.txt	0.923895328030852
read_basi_IV(1981)_6.txt	0.919786456218095
read_basi_IV(1981).txt	0.958301220794585
read_russ_(2010)_2.txt	0.943669629638705
read_russ_(2010)_3.txt	0.935120199781649
read_russ_(2010).txt	0.921354406163584
read_russ_1(2008)_2.txt	0.981378119121704
read_russ_1(2008)_3.txt	0.947277790044635
read_russ_1(2008)_4.txt	0.974254380227927
read_russ_1(2008)_5.txt	0.940576579098421
read_russ_1(2008)_6.txt	0.895312894790446
read_russ_1(2008)_7.txt	0.914933036394197
read_russ_1(2008)_8.txt	0.903690579789506
read_russ_1(2008)_9.txt	0.926009416348318
read_russ_1(2008).txt	0.948726477956171
read_russ_1(2009)_2.txt	0.927675486013345
read_russ_1(2009)_3.txt	0.935792544039922
read_russ_1(2009)_4.txt	0.926723263969852
read_russ_1(2009)_5.txt	0.899246737019173
read_russ_1(2009)_6.txt	0.920499564620199
read_russ_1(2009)_7.txt	0.916046638235799
read_russ_1(2009).txt	0.959803637165889
read_russ_1(2015)_2.txt	0.923431626338245
read_russ_1(2015)_3.txt	0.919179464444948
read_russ_1(2015)_4.txt	0.916771272111993
read_russ_1(2015)_5.txt	0.923793783581306
read_russ_1(2015)_6.txt	0.958852212794099
read_russ_1(2015)_7.txt	0.927701954613811
read_russ_1(2015).txt	0.879372490221637
read_russ_2(2008)_2.txt	0.947457551265192
read_russ_2(2008)_3.txt	0.938558583690578
read_russ_2(2008)_4.txt	0.948684302122409
read_russ_2(2008)_5.txt	0.952348832264445
read_russ_2(2008)_6.txt	0.906509310649652
read_russ_2(2008)_7.txt	0.928075292127417
read_russ_2(2008)_8.txt	0.969975543444895
read_russ_2(2008)_9.txt	0.950473852084285
read_russ_2(2008).txt	0.950602521953144
read_russ_2(2009)_2.txt	0.940177141517014
read_russ_2(2009)_3.txt	0.943332151315719
read_russ_2(2009)_4.txt	0.895903729198171
read_russ_2(2009)_5.txt	0.916468390125955
read_russ_2(2009)_6.txt	0.911291907084842
read_russ_2(2009).txt	0.927250941244669
read_russ_2(2016)_2.txt	0.930814731953632
read_russ_2(2016)_3.txt	0.970630838050015
read_russ_2(2016)_4.txt	0.944482584753737
read_russ_2(2016)_5.txt	0.952122253490073
read_russ_2(2016)_6.txt	0.967797266022885
read_russ_2(2016)_7.txt	0.954807948522186
read_russ_2(2016).txt	0.902808023117563
read_russ_3(2009)_2.txt	0.918858506110226
read_russ_3(2009)_3.txt	0.930128444854234
read_russ_3(2009)_4.txt	0.933102754503243
read_russ_3(2009)_5.txt	0.917756520843033
read_russ_3(2009)_6.txt	0.925013260299739
read_russ_3(2009)_7.txt	0.927526299860757
read_russ_3(2009).txt	0.925220089206962
