document	Flesch
read_basi_(1980)_2.txt	111.378913043478
read_basi_(1980)_3.txt	111.002333333333
read_basi_(1980).txt	111.33131997512
read_basi_II(1980).txt	105.183
read_basi_III(1981)_2.txt	110.520901639344
read_basi_III(1981)_3.txt	113.792045454545
read_basi_III(1981)_4.txt	112.319230769231
read_basi_III(1981)_5.txt	113.00484375
read_basi_III(1981)_6.txt	110.182403884042
read_basi_III(1981)_7.txt	111.946590909091
read_basi_III(1981)_8.txt	110.258
read_basi_III(1981).txt	111.915833333333
read_basi_IV(1981)_2.txt	111.535208333333
read_basi_IV(1981)_3.txt	107.627826086957
read_basi_IV(1981)_4.txt	110.477916666667
read_basi_IV(1981)_5.txt	110.525365853659
read_basi_IV(1981)_6.txt	111.235714285714
read_basi_IV(1981).txt	110.908888888889
read_russ_(2010)_2.txt	113.28125
read_russ_(2010)_3.txt	111.215
read_russ_(2010).txt	108.619425765117
read_russ_1(2008)_2.txt	115.739
read_russ_1(2008)_3.txt	111.83125
read_russ_1(2008)_4.txt	115.499090909091
read_russ_1(2008)_5.txt	117.385555555556
read_russ_1(2008)_6.txt	117.2234375
read_russ_1(2008)_7.txt	115.6375
read_russ_1(2008)_8.txt	113.506
read_russ_1(2008)_9.txt	113.847894736842
read_russ_1(2008).txt	109.04
read_russ_1(2009)_2.txt	115.942
read_russ_1(2009)_3.txt	116.691538461538
read_russ_1(2009)_4.txt	116.025588235294
read_russ_1(2009)_5.txt	112.23
read_russ_1(2009)_6.txt	113.637352941176
read_russ_1(2009)_7.txt	114.413529411765
read_russ_1(2009).txt	115.38375
read_russ_1(2015)_2.txt	117.4645
read_russ_1(2015)_3.txt	116
read_russ_1(2015)_4.txt	113.663888888889
read_russ_1(2015)_5.txt	115.197666666667
read_russ_1(2015)_6.txt	113.325555555556
read_russ_1(2015)_7.txt	108.913125
read_russ_1(2015).txt	115.806666666667
read_russ_2(2008)_2.txt	113.1
read_russ_2(2008)_3.txt	111.166666666667
read_russ_2(2008)_4.txt	109.640152844232
read_russ_2(2008)_5.txt	109.649
read_russ_2(2008)_6.txt	111.521111111111
read_russ_2(2008)_7.txt	111.183888888889
read_russ_2(2008)_8.txt	110.510005740528
read_russ_2(2008)_9.txt	108.620170454545
read_russ_2(2008).txt	112.443235294118
read_russ_2(2009)_2.txt	111.996652286454
read_russ_2(2009)_3.txt	114.1875
read_russ_2(2009)_4.txt	111.464722222222
read_russ_2(2009)_5.txt	111.07
read_russ_2(2009)_6.txt	111.443947368421
read_russ_2(2009).txt	111.450625
read_russ_2(2016)_2.txt	114.991590909091
read_russ_2(2016)_3.txt	112.955
read_russ_2(2016)_4.txt	110.7075
read_russ_2(2016)_5.txt	110.5625
read_russ_2(2016)_6.txt	111.662083333333
read_russ_2(2016)_7.txt	114.484090909091
read_russ_2(2016).txt	113.438333333333
read_russ_3(2009)_2.txt	112.654824561404
read_russ_3(2009)_3.txt	105.072272727273
read_russ_3(2009)_4.txt	112.211875
read_russ_3(2009)_5.txt	111.4325
read_russ_3(2009)_6.txt	113.123604651163
read_russ_3(2009)_7.txt	110.81625
read_russ_3(2009).txt	110.345
read_russ_3(2018)_2.txt	113.219411764706
read_russ_3(2018)_3.txt	107.277105263158
read_russ_3(2018)_4.txt	106.956578947368
read_russ_3(2018)_5.txt	109.589791666667
read_russ_3(2018).txt	113.042
read_russ_4(2009)_2.txt	114.164512195122
read_russ_4(2009)_3.txt	110.472941176471
read_russ_4(2009)_4.txt	104.887727272727
read_russ_4(2009).txt	109.942222222222
read_russ_4(2010)_2.txt	106.780806451613
