document	R
read_basi_(1980)_2.txt	11.0979551744228
read_basi_(1980)_3.txt	13.4664178932682
read_basi_(1980).txt	14.0034732990673
read_basi_II(1980).txt	9.41250434768761
read_basi_III(1981)_2.txt	18.1488170976457
read_basi_III(1981)_3.txt	16.9435471111199
read_basi_III(1981)_4.txt	11.0432221704316
read_basi_III(1981)_5.txt	18.5789399992102
read_basi_III(1981)_6.txt	15.1947379808043
read_basi_III(1981)_7.txt	17.9131249323799
read_basi_III(1981)_8.txt	12.1015010508455
read_basi_III(1981).txt	8.96303885820933
read_basi_IV(1981)_2.txt	11.2802916593357
read_basi_IV(1981)_3.txt	14.4970566863752
read_basi_IV(1981)_4.txt	12.8210933536344
read_basi_IV(1981)_5.txt	13.6100945002024
read_basi_IV(1981)_6.txt	13.9302134749482
read_basi_IV(1981).txt	19.9209328910938
read_russ_(2010)_2.txt	15.6014392917916
read_russ_(2010)_3.txt	14.2989571994307
read_russ_(2010).txt	13.6811197724958
read_russ_1(2008)_2.txt	5.30330085889911
read_russ_1(2008)_3.txt	7.17804919486503
read_russ_1(2008)_4.txt	7.39733656360816
read_russ_1(2008)_5.txt	7.11696303142693
read_russ_1(2008)_6.txt	5.62543950463012
read_russ_1(2008)_7.txt	6.49936598767589
read_russ_1(2008)_8.txt	6.03863529939255
read_russ_1(2008)_9.txt	8.61933835225032
read_russ_1(2008).txt	4.31455497304005
read_russ_1(2009)_2.txt	5.84200584200876
read_russ_1(2009)_3.txt	6.40862095424681
read_russ_1(2009)_4.txt	7.25629700011281
read_russ_1(2009)_5.txt	7.15055485837349
read_russ_1(2009)_6.txt	8.08333333333333
read_russ_1(2009)_7.txt	7.60122529295103
read_russ_1(2009).txt	6.2598071204459
read_russ_1(2015)_2.txt	5.10527470242631
read_russ_1(2015)_3.txt	6.46996639220631
read_russ_1(2015)_4.txt	6.07951694756989
read_russ_1(2015)_5.txt	7.15823893254372
read_russ_1(2015)_6.txt	7.42558014611176
read_russ_1(2015)_7.txt	7.319250547114
read_russ_1(2015).txt	4.63586324972765
read_russ_2(2008)_2.txt	9.74236009634799
read_russ_2(2008)_3.txt	10.8374250474635
read_russ_2(2008)_4.txt	10.8955126140054
read_russ_2(2008)_5.txt	10.6319158390481
read_russ_2(2008)_6.txt	8.33047052275169
read_russ_2(2008)_7.txt	9.4082919516142
read_russ_2(2008)_8.txt	9.92242638947478
read_russ_2(2008)_9.txt	9.66987556830456
read_russ_2(2008).txt	9.89949493661167
read_russ_2(2009)_2.txt	9.90556503079128
read_russ_2(2009)_3.txt	8.06784296389624
read_russ_2(2009)_4.txt	7.94964203663525
read_russ_2(2009)_5.txt	9.83521250195834
read_russ_2(2009)_6.txt	8.83883476483184
read_russ_2(2009).txt	8.97349036951423
read_russ_2(2016)_2.txt	8.80704845927979
read_russ_2(2016)_3.txt	9.81110658896335
read_russ_2(2016)_4.txt	9.51661902861773
read_russ_2(2016)_5.txt	9.27869618527036
read_russ_2(2016)_6.txt	9.5703709436991
read_russ_2(2016)_7.txt	10.198336168516
read_russ_2(2016).txt	7.10416995638694
read_russ_3(2009)_2.txt	13.925518817963
read_russ_3(2009)_3.txt	12.7545058451842
read_russ_3(2009)_4.txt	15.3644255919475
read_russ_3(2009)_5.txt	10.4958025183212
read_russ_3(2009)_6.txt	12.5004986777169
read_russ_3(2009)_7.txt	10.8115361062663
read_russ_3(2009).txt	8.74573066576194
read_russ_3(2018)_2.txt	12.1854359168988
read_russ_3(2018)_3.txt	11.6534789410103
read_russ_3(2018)_4.txt	11.9062124429578
read_russ_3(2018)_5.txt	12.8385914896505
read_russ_3(2018).txt	11.8509406779665
read_russ_4(2009)_2.txt	12.0185614960126
read_russ_4(2009)_3.txt	10.5445633982106
read_russ_4(2009)_4.txt	8.75189948987367
read_russ_4(2009).txt	11.3629107512442
read_russ_4(2010)_2.txt	15.422687024423
read_russ_4(2010)_3.txt	15.1320851173921
read_russ_4(2010)_4.txt	11.510543464035
read_russ_4(2010)_5.txt	17.9230852210776
read_russ_4(2010)_6.txt	11.9792924780999
read_russ_4(2010)_7.txt	15.3781171307311
read_russ_4(2010).txt	14.8123729595924
read_russ_5(2010)_2.txt	18.0864038168376
read_russ_5(2010)_3.txt	17.0994912623733
read_russ_5(2010)_4.txt	13.368274729028
read_russ_5(2010)_5.txt	11.71537451386
read_russ_5(2010).txt	17.0668352288347
read_russ_6(2011)_10.txt	14.9436088229352
read_russ_6(2011)_11.txt	14.7421997621067
read_russ_6(2011)_12.txt	13.4400832642618
read_russ_6(2011)_2.txt	13.4723095644362
read_russ_6(2011)_3.txt	13.8414584798958
read_russ_6(2011)_4.txt	13.2972300322515
read_russ_6(2011)_5.txt	10.6529447603707
read_russ_6(2011)_6.txt	15.3431928469796
read_russ_6(2011)_7.txt	14.767316418506
read_russ_6(2011)_8.txt	13.2030609751159
read_russ_6(2011)_9.txt	14.8944418606489
read_russ_6(2011).txt	13.6378175022679
read_russ_7(2011)_2.txt	9.95127991908438
read_russ_7(2011)_3.txt	17.7526428326439
read_russ_7(2011)_4.txt	18.9710043030786
read_russ_7(2011)_5.txt	10.5420998650751
read_russ_7(2011)_6.txt	21.6534518038006
read_russ_7(2011)_7.txt	20.7164470660222
read_russ_7(2011).txt	10.0666666666667
read_russ_8(2011)_2.txt	14.0800195745429
read_russ_8(2011)_3.txt	12.9796509036113
read_russ_8(2011)_4.txt	13.9610803559711
read_russ_8(2011)_5.txt	18.7314493631116
read_russ_8(2011)_6.txt	13.8579500918665
read_russ_8(2011).txt	20.9719552412502
read_trav_1(2010)_2.txt	6.9054276845717
read_trav_1(2010)_3.txt	7.35420541930925
read_trav_1(2010)_4.txt	7.37563556583431
read_trav_1(2010)_5.txt	8.31393380579271
read_trav_1(2010).txt	6.42719406346282
read_trav_2(2010)_2.txt	9.24339215372055
read_trav_2(2010)_3.txt	9.90266919284175
read_trav_2(2010)_4.txt	11.8931252651029
read_trav_2(2010)_5.txt	9.82535670643067
read_trav_2(2010)_6.txt	11.2429978208661
read_trav_2(2010).txt	9.94396062648965
read_trav_3(2011)_2.txt	8.63316737630914
read_trav_3(2011)_3.txt	7.42623297306331
read_trav_3(2011)_4.txt	11.1260717993464
read_trav_3(2011)_5.txt	12.4132789448809
read_trav_3(2011)_6.txt	12.2510932456775
read_trav_3(2011)_7.txt	14.1052804721518
read_trav_3(2011).txt	11.4018847648306
read_trav_4(2016)_2.txt	12.483204263833
read_trav_4(2016)_3.txt	10.5684581511358
read_trav_4(2016)_4.txt	11.4935114935172
read_trav_4(2016)_5.txt	9.93902462650716
read_trav_4(2016)_6.txt	14.2239631172386
read_trav_4(2016).txt	8.77058019307029
read_vost_1(1994)_2.txt	4.43760156980183
read_vost_1(1994)_3.txt	4.09311900491615
read_vost_1(1994)_4.txt	4.38866912248653
read_vost_1(1994)_5.txt	5.24142418360959
read_vost_1(1994)_6.txt	5.93598812803562
read_vost_1(1994).txt	4.38406204335659
