document	K
read_basi_(1980)_2.txt	75.1917898694305
read_basi_(1980)_3.txt	44.1763036116866
read_basi_(1980).txt	65.4095952550328
read_basi_II(1980).txt	63.0668934240363
read_basi_III(1981)_2.txt	58.8630188076083
read_basi_III(1981)_3.txt	35.5672343489239
read_basi_III(1981)_4.txt	47.1200942401885
read_basi_III(1981)_5.txt	46.6111771700357
read_basi_III(1981)_6.txt	60.3157966246446
read_basi_III(1981)_7.txt	44.1895071286372
read_basi_III(1981)_8.txt	90.5710364199304
read_basi_III(1981).txt	49.7178177909164
read_basi_IV(1981)_2.txt	59.0313059466783
read_basi_IV(1981)_3.txt	50.9761685271219
read_basi_IV(1981)_4.txt	54.8729258559126
read_basi_IV(1981)_5.txt	63.8272195379231
read_basi_IV(1981)_6.txt	66.3921606179578
read_basi_IV(1981).txt	49.4169146062036
read_russ_(2010)_2.txt	46.5872926259091
read_russ_(2010)_3.txt	66.8611480930378
read_russ_(2010).txt	63.3175309401682
read_russ_1(2008)_2.txt	39.0625
read_russ_1(2008)_3.txt	68.4116597263534
read_russ_1(2008)_4.txt	34.6020761245675
read_russ_1(2008)_5.txt	105.462412114657
read_russ_1(2008)_6.txt	160.230732254446
read_russ_1(2008)_7.txt	130.419031517933
read_russ_1(2008)_8.txt	251.487290427258
read_russ_1(2008)_9.txt	94.1214653738488
read_russ_1(2008).txt	207.100591715976
read_russ_1(2009)_2.txt	150.884495317378
read_russ_1(2009)_3.txt	111.089069629042
read_russ_1(2009)_4.txt	79.5118343195267
read_russ_1(2009)_5.txt	184.835118672548
read_russ_1(2009)_6.txt	182.291666666667
read_russ_1(2009)_7.txt	111.881591981819
read_russ_1(2009).txt	96.0219478737997
read_russ_1(2015)_2.txt	162.969669533726
read_russ_1(2015)_3.txt	102.75824770146
read_russ_1(2015)_4.txt	155.817174515235
read_russ_1(2015)_5.txt	147.92899408284
read_russ_1(2015)_6.txt	67.2969075468675
read_russ_1(2015)_7.txt	85.2607709750567
read_russ_1(2015).txt	264.696829793783
read_russ_2(2008)_2.txt	50.2972107910379
read_russ_2(2008)_3.txt	64.4533857096546
read_russ_2(2008)_4.txt	58.0606781677573
read_russ_2(2008)_5.txt	34.6860908775581
read_russ_2(2008)_6.txt	124.054820415879
read_russ_2(2008)_7.txt	68.4698958804889
read_russ_2(2008)_8.txt	48.2093663911846
read_russ_2(2008)_9.txt	59.0318772136954
read_russ_2(2008).txt	55.6317634506935
read_russ_2(2009)_2.txt	50.1657260593031
read_russ_2(2009)_3.txt	108.757406054703
read_russ_2(2009)_4.txt	144.29606156632
