Text	Types	Tokens	Sentences
read_basi_(1980)_2.txt	187	299	23
read_basi_(1980)_3.txt	262	396	30
read_basi_(1980).txt	273	407	34
read_basi_II(1980).txt	133	203	10
read_basi_III(1981)_2.txt	518	839	61
read_basi_III(1981)_3.txt	422	689	66
read_basi_III(1981)_4.txt	197	314	26
read_basi_III(1981)_5.txt	591	1098	96
read_basi_III(1981)_6.txt	421	796	55
read_basi_III(1981)_7.txt	582	1145	88
read_basi_III(1981)_8.txt	362	916	60
read_basi_III(1981).txt	107	150	12
read_basi_IV(1981)_2.txt	192	294	24
read_basi_IV(1981)_3.txt	397	810	46
read_basi_IV(1981)_4.txt	235	349	24
read_basi_IV(1981)_5.txt	321	631	41
read_basi_IV(1981)_6.txt	354	706	49
read_basi_IV(1981).txt	560	864	63
read_russ_(2010)_2.txt	370	599	56
read_russ_(2010)_3.txt	328	569	42
read_russ_(2010).txt	327	653	38
read_russ_1(2008)_2.txt	34	40	5
read_russ_1(2008)_3.txt	70	106	8
read_russ_1(2008)_4.txt	74	108	11
read_russ_1(2008)_5.txt	72	109	18
read_russ_1(2008)_6.txt	59	107	16
read_russ_1(2008)_7.txt	74	132	14
read_russ_1(2008)_8.txt	64	103	10
read_russ_1(2008)_9.txt	124	217	19
read_russ_1(2008).txt	26	32	2
read_russ_1(2009)_2.txt	52	80	10
read_russ_1(2009)_3.txt	58	91	13
read_russ_1(2009)_4.txt	84	133	17
read_russ_1(2009)_5.txt	95	166	14
read_russ_1(2009)_6.txt	103	173	17
read_russ_1(2009)_7.txt	94	161	17
read_russ_1(2009).txt	51	69	8
read_russ_1(2015)_2.txt	39	60	10
read_russ_1(2015)_3.txt	68	116	14
read_russ_1(2015)_4.txt	60	91	9
read_russ_1(2015)_5.txt	80	123	15
read_russ_1(2015)_6.txt	71	91	9
read_russ_1(2015)_7.txt	84	147	8
read_russ_1(2015).txt	41	75	9
read_russ_2(2008)_2.txt	132	211	18
read_russ_2(2008)_3.txt	178	278	21
read_russ_2(2008)_4.txt	176	264	18
read_russ_2(2008)_5.txt	159	246	15
read_russ_2(2008)_6.txt	128	227	18
read_russ_2(2008)_7.txt	146	231	18
read_russ_2(2008)_8.txt	129	174	13
read_russ_2(2008)_9.txt	133	188	16
read_russ_2(2008).txt	137	195	17
read_russ_2(2009)_2.txt	148	248	19
read_russ_2(2009)_3.txt	92	134	14
read_russ_2(2009)_4.txt	125	244	18
read_russ_2(2009)_5.txt	164	296	22
read_russ_2(2009)_6.txt	143	254	19
read_russ_2(2009).txt	132	216	16
read_russ_2(2016)_2.txt	127	191	22
read_russ_2(2016)_3.txt	122	181	14
read_russ_2(2016)_4.txt	127	200	14
read_russ_2(2016)_5.txt	116	172	12
read_russ_2(2016)_6.txt	114	154	12
read_russ_2(2016)_7.txt	152	220	22
read_russ_2(2016).txt	91	154	15
read_russ_3(2009)_2.txt	353	663	57
read_russ_3(2009)_3.txt	267	499	22
read_russ_3(2009)_4.txt	396	731	56
read_russ_3(2009)_5.txt	205	384	28
read_russ_3(2009)_6.txt	272	509	43
read_russ_3(2009)_7.txt	200	342	24
read_russ_3(2009).txt	126	214	15
read_russ_3(2018)_2.txt	234	404	34
read_russ_3(2018)_3.txt	211	350	19
read_russ_3(2018)_4.txt	217	339	19
read_russ_3(2018)_5.txt	234	350	24
read_russ_3(2018).txt	238	474	35
read_russ_4(2009)_2.txt	243	433	41
