document	RIX
read_basi_(1980)_2.txt	3.91304347826087
read_basi_(1980)_3.txt	4.24137931034483
read_basi_(1980).txt	3.84375
read_basi_II(1980).txt	6.66666666666667
read_basi_III(1981)_2.txt	5.75
read_basi_III(1981)_3.txt	3.39130434782609
read_basi_III(1981)_4.txt	2.68181818181818
read_basi_III(1981)_5.txt	3.10958904109589
read_basi_III(1981)_6.txt	4.17777777777778
read_basi_III(1981)_7.txt	4.16438356164384
read_basi_III(1981)_8.txt	3.21153846153846
read_basi_III(1981).txt	3.81818181818182
read_basi_IV(1981)_2.txt	4.91304347826087
read_basi_IV(1981)_3.txt	5.68181818181818
read_basi_IV(1981)_4.txt	3.77272727272727
read_basi_IV(1981)_5.txt	4.08571428571429
read_basi_IV(1981)_6.txt	3.88372093023256
read_basi_IV(1981).txt	5.92156862745098
read_russ_(2010)_2.txt	3.64583333333333
read_russ_(2010)_3.txt	4.77142857142857
read_russ_(2010).txt	3.7027027027027
read_russ_1(2008)_2.txt	3
read_russ_1(2008)_3.txt	4.71428571428571
read_russ_1(2008)_4.txt	2.125
read_russ_1(2008)_5.txt	1.9
read_russ_1(2008)_6.txt	1.85714285714286
read_russ_1(2008)_7.txt	4.16666666666667
read_russ_1(2008)_8.txt	2.6
read_russ_1(2008)_9.txt	3.1
read_russ_1(2008).txt	2
read_russ_1(2009)_2.txt	2
read_russ_1(2009)_3.txt	2.875
read_russ_1(2009)_4.txt	2.09090909090909
read_russ_1(2009)_5.txt	2.4
read_russ_1(2009)_6.txt	3.2
read_russ_1(2009)_7.txt	3
read_russ_1(2009).txt	1.42857142857143
read_russ_1(2015)_2.txt	3.2
read_russ_1(2015)_3.txt	2.875
read_russ_1(2015)_4.txt	2.75
read_russ_1(2015)_5.txt	2.33333333333333
read_russ_1(2015)_6.txt	2.44444444444444
read_russ_1(2015)_7.txt	5
read_russ_1(2015).txt	1.66666666666667
read_russ_2(2008)_2.txt	2.4
read_russ_2(2008)_3.txt	4.61111111111111
read_russ_2(2008)_4.txt	4.88235294117647
read_russ_2(2008)_5.txt	5.26666666666667
read_russ_2(2008)_6.txt	2.29411764705882
read_russ_2(2008)_7.txt	3
read_russ_2(2008)_8.txt	4.41666666666667
read_russ_2(2008)_9.txt	4.6
read_russ_2(2008).txt	4.53333333333333
read_russ_2(2009)_2.txt	2.78571428571429
read_russ_2(2009)_3.txt	2.25
read_russ_2(2009)_4.txt	2.6
read_russ_2(2009)_5.txt	3.2
read_russ_2(2009)_6.txt	4.05263157894737
read_russ_2(2009).txt	3.69230769230769
read_russ_2(2016)_2.txt	2.11111111111111
read_russ_2(2016)_3.txt	4.09090909090909
read_russ_2(2016)_4.txt	3.69230769230769
read_russ_2(2016)_5.txt	4.58333333333333
read_russ_2(2016)_6.txt	4.5
read_russ_2(2016)_7.txt	3
read_russ_2(2016).txt	2.33333333333333
read_russ_3(2009)_2.txt	3.19148936170213
read_russ_3(2009)_3.txt	6.31578947368421
read_russ_3(2009)_4.txt	3.45454545454545
