document	SMOG
read_basi_(1980)_2.txt	3.1291
read_basi_(1980)_3.txt	3.1291
read_basi_(1980).txt	4.13898040752358
read_basi_II(1980).txt	3.1291
read_basi_III(1981)_2.txt	3.1291
read_basi_III(1981)_3.txt	3.1291
read_basi_III(1981)_4.txt	3.1291
read_basi_III(1981)_5.txt	3.1291
read_basi_III(1981)_6.txt	3.1291
read_basi_III(1981)_7.txt	3.1291
read_basi_III(1981)_8.txt	3.1291
read_basi_III(1981).txt	3.1291
read_basi_IV(1981)_2.txt	3.1291
read_basi_IV(1981)_3.txt	3.1291
read_basi_IV(1981)_4.txt	3.1291
read_basi_IV(1981)_5.txt	3.1291
read_basi_IV(1981)_6.txt	3.1291
read_basi_IV(1981).txt	3.1291
read_russ_(2010)_2.txt	3.1291
read_russ_(2010)_3.txt	3.1291
read_russ_(2010).txt	4.0682697023061
read_russ_1(2008)_2.txt	3.1291
read_russ_1(2008)_3.txt	3.1291
read_russ_1(2008)_4.txt	3.1291
read_russ_1(2008)_5.txt	3.1291
read_russ_1(2008)_6.txt	3.1291
read_russ_1(2008)_7.txt	3.1291
read_russ_1(2008)_8.txt	3.1291
read_russ_1(2008)_9.txt	3.1291
read_russ_1(2008).txt	3.1291
read_russ_1(2009)_2.txt	3.1291
read_russ_1(2009)_3.txt	3.1291
read_russ_1(2009)_4.txt	3.1291
read_russ_1(2009)_5.txt	3.1291
read_russ_1(2009)_6.txt	3.1291
read_russ_1(2009)_7.txt	3.1291
read_russ_1(2009).txt	3.1291
read_russ_1(2015)_2.txt	3.1291
read_russ_1(2015)_3.txt	3.1291
read_russ_1(2015)_4.txt	3.1291
read_russ_1(2015)_5.txt	3.1291
read_russ_1(2015)_6.txt	3.1291
read_russ_1(2015)_7.txt	3.1291
read_russ_1(2015).txt	3.1291
read_russ_2(2008)_2.txt	3.1291
read_russ_2(2008)_3.txt	3.1291
read_russ_2(2008)_4.txt	4.51464448842748
read_russ_2(2008)_5.txt	3.1291
read_russ_2(2008)_6.txt	3.1291
read_russ_2(2008)_7.txt	3.1291
read_russ_2(2008)_8.txt	3.1291
read_russ_2(2008)_9.txt	5.2151
read_russ_2(2008).txt	3.1291
